data_date,individuals,,,,
1/2/13,200702,,,,
1/3/13,201035,,,,
1/5/13,201321,,,,
1/6/13,207792,,,,
1/7/13,208195,,,,
1/8/13,211007,,,,
1/9/13,211222,,,,
1/10/13,211691,,,,
1/12/13,211653,,,,
1/13/13,212624,,,,
1/14/13,158571,,,,
1/15/13,160849,,,,
1/16/13,162368,,,,
1/17/13,162651,,,,
1/18/13,162994,,,,
1/20/13,165442,,,,
1/21/13,166814,,,,
1/22/13,167986,,,,
1/23/13,169662,,,,
1/27/13,169890,,,,
1/28/13,175067,,,,
1/29/13,176200,,,,
1/30/13,179031,,,,
1/31/13,180240,,,,
2/2/13,180563,,,,
2/3/13,183428,,,,
2/4/13,185669,,,,
2/5/13,187845,,,,
2/6/13,190115,,,,
2/7/13,191500,,,,
2/9/13,192593,,,,
2/10/13,197217,,,,
2/11/13,199751,,,,
2/12/13,202208,,,,
2/13/13,203360,,,,
2/14/13,203907,,,,
2/15/13,204451,,,,
2/16/13,205136,,,,
2/17/13,210494,,,,
2/18/13,212464,,,,
2/19/13,214608,,,,
2/20/13,216692,,,,
2/21/13,222468,,,,
2/22/13,223101,,,,
2/24/13,223199,,,,
2/25/13,227526,,,,
2/26/13,227646,,,,
2/27/13,230354,,,,
2/28/13,230364,,,,
3/3/13,233195,,,,
3/5/13,235169,,,,
3/6/13,235247,,,,
3/9/13,278730,,,,
3/10/13,279593,,,,
3/11/13,298838,,,,
3/12/13,301526,,,,
3/13/13,306953,,,,
3/14/13,307269,,,,
3/17/13,312604,,,,
3/18/13,313831,,,,
3/19/13,314593,,,,
3/20/13,315908,,,,
3/21/13,316274,,,,
3/23/13,316219,,,,
3/24/13,318251,,,,
3/25/13,330060,,,,
3/26/13,333141,,,,
3/27/13,337032,,,,
3/28/13,338971,,,,
3/31/13,339474,,,,
4/1/13,344575,,,,
4/2/13,349018,,,,
4/3/13,611912,,,,
4/4/13,617042,,,,
4/5/13,650420,,,,
4/6/13,650996,,,,
4/7/13,655164,,,,
4/8/13,663209,,,,
4/9/13,669346,,,,
4/10/13,676238,,,,
4/11/13,682993,,,,
4/12/13,688514,,,,
4/13/13,688286,,,,
4/14/13,689209,,,,
4/15/13,699171,,,,
4/16/13,707135,,,,
4/17/13,712334,,,,
4/18/13,720412,,,,
4/20/13,728957,,,,
4/21/13,730620,,,,
4/22/13,762851,,,,
4/23/13,771554,,,,
4/24/13,779008,,,,
4/25/13,786634,,,,
4/26/13,790507,,,,
4/28/13,790507,,,,
4/29/13,799862,,,,
4/30/13,810872,,,,
5/1/13,810872,,,,
5/2/13,821812,,,,
5/3/13,824782,,,,
5/5/13,825475,,,,
5/6/13,829006,,,,
5/7/13,834317,,,,
5/8/13,838504,,,,
5/9/13,842528,,,,
5/10/13,847449,,,,
5/12/13,849211,,,,
5/13/13,874005,,,,
5/14/13,873341,,,,
5/15/13,909804,,,,
5/16/13,915918,,,,
5/17/13,919544,,,,
5/18/13,919506,,,,
5/19/13,917107,,,,
5/20/13,928260,,,,
5/21/13,943537,,,,
5/22/13,950439,,,,
5/23/13,962360,,,,
5/24/13,966327,,,,
5/26/13,967310,,,,
5/27/13,997012,,,,
5/28/13,1004418,,,,
5/29/13,1010441,,,,
5/30/13,1016849,,,,
5/31/13,1016078,,,,
6/3/13,1025380,,,,
6/4/13,1031530,,,,
6/5/13,1045304,,,,
6/6/13,1052148,,,,
6/7/13,1054971,,,,
6/9/13,1057280,,,,
6/10/13,1068078,,,,
6/11/13,1073174,,,,
6/12/13,1081283,,,,
6/13/13,1087126,,,,
6/14/13,1090707,,,,
6/16/13,1092496,,,,
6/17/13,1104255,,,,
6/18/13,1110375,,,,
6/19/13,1116011,,,,
6/20/13,1125307,,,,
6/21/13,1127113,,,,
6/23/13,1130656,,,,
6/24/13,1136026,,,,
6/25/13,1142653,,,,
6/26/13,1161732,,,,
6/27/13,1166864,,,,
6/28/13,1169296,,,,
6/30/13,1171784,,,,
7/1/13,1174775,,,,
7/2/13,1182522,,,,
7/3/13,1187886,,,,
7/4/13,1192713,,,,
7/7/13,1195248,,,,
7/8/13,1206930,,,,
7/9/13,1210509,,,,
7/10/13,1217087,,,,
7/11/13,1217161,,,,
7/12/13,1219822,,,,
7/13/13,1220629,,,,
7/14/13,1228858,,,,
7/15/13,1237082,,,,
7/16/13,1239911,,,,
7/17/13,1258223,,,,
7/18/13,1261324,,,,
7/19/13,1263892,,,,
7/21/13,1264282,,,,
7/22/13,1284784,,,,
7/23/13,1288646,,,,
7/24/13,1290480,,,,
7/25/13,1295093,,,,
7/26/13,1296934,,,,
7/28/13,1299391,,,,
7/29/13,1303526,,,,
7/30/13,1313850,,,,
7/31/13,1321157,,,,
8/1/13,1325727,,,,
8/2/13,1327859,,,,
8/4/13,1328190,,,,
8/5/13,1339472,,,,
8/6/13,1335644,,,,
8/7/13,1342532,,,,
8/8/13,1345246,,,,
8/9/13,1345907,,,,
8/11/13,1347333,,,,
8/12/13,1351409,,,,
8/13/13,1356590,,,,
8/14/13,1361273,,,,
8/15/13,1364122,,,,
8/16/13,1366434,,,,
8/18/13,1369464,,,,
8/19/13,1381616,,,,
8/20/13,1391548,,,,
8/21/13,1394940,,,,
8/22/13,1403985,,,,
8/23/13,1406413,,,,
8/24/13,1406422,,,,
8/25/13,1407626,,,,
8/26/13,1415432,,,,
8/27/13,1442368,,,,
8/28/13,1449746,,,,
8/29/13,1459298,,,,
8/31/13,1463449,,,,
9/1/13,1468216,,,,
9/2/13,1485190,,,,
9/3/13,1495680,,,,
9/4/13,1498314,,,,
9/5/13,1501318,,,,
9/6/13,1503497,,,,
9/9/13,1506271,,,,
9/12/13,1515069,,,,
9/14/13,1518436,,,,
9/16/13,1558541,,,,
9/17/13,1561996,,,,
9/18/13,1592073,,,,
9/19/13,1593653,,,,
9/21/13,1599877,,,,
9/22/13,1608813,,,,
9/23/13,1612363,,,,
9/24/13,1621449,,,,
9/25/13,1621416,,,,
9/26/13,1622282,,,,
9/27/13,1629959,,,,
9/29/13,1630328,,,,
9/30/13,1633241,,,,
10/1/13,1644653,,,,
10/2/13,1657085,,,,
10/3/13,1668560,,,,
10/4/13,1671154,,,,
10/6/13,1672329,,,,
10/7/13,1679320,,,,
10/8/13,1687257,,,,
10/9/13,1691399,,,,
10/10/13,1697247,,,,
10/11/13,1697247,,,,
10/13/13,1697856,,,,
10/14/13,1703666,,,,
10/16/13,1706053,,,,
10/17/13,1709065,,,,
10/19/13,1711646,,,,
10/20/13,1712380,,,,
10/21/13,1714850,,,,
10/22/13,1720406,,,,
10/23/13,1724481,,,,
10/24/13,1728254,,,,
10/25/13,1734008,,,,
10/27/13,1734117,,,,
10/28/13,1739126,,,,
10/29/13,1741515,,,,
10/30/13,1744006,,,,
10/31/13,1749243,,,,
11/1/13,1749828,,,,
11/2/13,1755547,,,,
11/3/13,1757535,,,,
11/5/13,1794570,,,,
11/6/13,1791772,,,,
11/7/13,1786699,,,,
11/8/13,1811886,,,,
11/10/13,1813464,,,,
11/11/13,1799553,,,,
11/12/13,1804775,,,,
11/13/13,1807849,,,,
11/14/13,1811476,,,,
11/15/13,1814143,,,,
11/17/13,1819342,,,,
11/18/13,1822211,,,,
11/19/13,1826079,,,,
11/20/13,1831459,,,,
11/21/13,1834189,,,,
11/24/13,1834332,,,,
11/25/13,1837443,,,,
11/26/13,1844989,,,,
11/27/13,1854401,,,,
11/28/13,1858162,,,,
11/30/13,1870634,,,,
12/2/13,1870651,,,,
12/3/13,1875699,,,,
12/4/13,1879328,,,,
12/5/13,1882447,,,,
12/6/13,1884605,,,,
12/8/13,1887667,,,,
12/9/13,1890378,,,,
12/10/13,1893278,,,,
